geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017
"Judith Basin County, MT","county",05000US30045,0.088,0.156,0.154,,,
"Lake County, MT","county",05000US30047,0.23,0.204,0.192,,,
"Lewis and Clark County, MT","county",05000US30049,0.173,0.158,0.156,,,
"Liberty County, MT","county",05000US30051,,0.166,0.17,,,
"Lincoln County, MT","county",05000US30053,0.207,0.172,0.176,,,
"McCone County, MT","county",05000US30055,,0.156,0.147,,,
"Madison County, MT","county",05000US30057,0.129,0.156,0.147,,,
"Meagher County, MT","county",05000US30059,0.177,0.188,0.167,,,
"Mineral County, MT","county",05000US30061,0.199,0.172,0.163,,,
"Missoula County, MT","county",05000US30063,0.173,0.166,0.185,,1.5,2.2
"Musselshell County, MT","county",05000US30065,0.195,0.178,0.178,,,
"Park County, MT","county",05000US30067,0.136,0.151,0.158,,,
"Petroleum County, MT","county",05000US30069,,0.176,0.169,,,
"Phillips County, MT","county",05000US30071,0.16,0.184,0.185,,,
"Pondera County, MT","county",05000US30073,0.188,0.195,0.179,,,
"Powder River County, MT","county",05000US30075,0.16,0.165,0.149,,,
"Powell County, MT","county",05000US30077,0.225,0.179,0.178,,,
"Prairie County, MT","county",05000US30079,,0.16,0.149,,,
"Ravalli County, MT","county",05000US30081,0.193,0.172,0.159,,,
"Richland County, MT","county",05000US30083,0.186,0.184,0.164,,,
"Roosevelt County, MT","county",05000US30085,0.274,0.293,0.301,20.7,14.6,
"Rosebud County, MT","county",05000US30087,0.211,0.229,0.216,,,
"Sanders County, MT","county",05000US30089,0.219,0.195,0.183,,,
"Sheridan County, MT","county",05000US30091,0.131,0.161,0.143,,,
"Silver Bow County, MT","county",05000US30093,0.226,0.208,0.202,,,
"Stillwater County, MT","county",05000US30095,0.142,0.156,0.151,,,
"Sweet Grass County, MT","county",05000US30097,0.15,0.151,0.146,,,
"Teton County, MT","county",05000US30099,0.176,0.185,0.149,,,
"Toole County, MT","county",05000US30101,0.161,0.199,0.193,,,
"Treasure County, MT","county",05000US30103,,0.179,0.179,,,
"Valley County, MT","county",05000US30105,0.176,0.165,0.163,,,
"Wheatland County, MT","county",05000US30107,0.255,0.172,0.172,,,
"Wibaux County, MT","county",05000US30109,,0.172,0.161,,,
"Yellowstone County, MT","county",05000US30111,0.171,0.186,0.161,2.6,2.8,4
"Adams County, NE","county",05000US31001,0.151,0.173,0.16,,,
"Antelope County, NE","county",05000US31003,0.134,0.145,0.15,,,
"Arthur County, NE","county",05000US31005,,0.149,0.151,,,
"Banner County, NE","county",05000US31007,0.232,0.149,0.143,,,
"Blaine County, NE","county",05000US31009,,0.157,0.152,,,
"Boone County, NE","county",05000US31011,0.125,0.143,0.142,,,
"Box Butte County, NE","county",05000US31013,0.206,0.182,0.181,,,
"Boyd County, NE","county",05000US31015,0.15,0.151,0.15,,,
"Brown County, NE","county",05000US31017,0.167,0.149,0.166,,,
"Buffalo County, NE","county",05000US31019,0.15,0.147,0.146,,,
"Burt County, NE","county",05000US31021,0.173,0.183,0.153,,,
"Butler County, NE","county",05000US31023,0.208,0.161,0.156,,,
"Cass County, NE","county",05000US31025,0.186,0.176,0.161,,,
"Cedar County, NE","county",05000US31027,0.122,0.139,0.129,,,
"Chase County, NE","county",05000US31029,0.111,0.144,0.139,,,
"Cherry County, NE","county",05000US31031,0.148,0.158,0.156,,,
"Cheyenne County, NE","county",05000US31033,0.179,0.173,0.153,,,
"Clay County, NE","county",05000US31035,0.138,0.153,0.149,,,
"Colfax County, NE","county",05000US31037,0.168,0.149,0.152,,,
"Cuming County, NE","county",05000US31039,0.139,0.136,0.141,,,
"Custer County, NE","county",05000US31041,0.13,0.147,0.149,,,
"Dakota County, NE","county",05000US31043,0.205,0.184,0.167,,,
"Dawes County, NE","county",05000US31045,0.177,0.173,0.155,,,
"Dawson County, NE","county",05000US31047,0.183,0.172,0.174,,,
"Deuel County, NE","county",05000US31049,0.211,0.161,0.151,,,
"Dixon County, NE","county",05000US31051,0.181,0.153,0.141,,,
"Dodge County, NE","county",05000US31053,0.204,0.181,0.166,,,
"Douglas County, NE","county",05000US31055,0.193,0.174,0.183,7.3,7.9,7.9
"Dundy County, NE","county",05000US31057,0.124,0.163,0.167,,,
"Fillmore County, NE","county",05000US31059,0.134,0.152,0.154,,,
"Franklin County, NE","county",05000US31061,0.179,0.159,0.148,,,
"Frontier County, NE","county",05000US31063,0.124,0.158,0.145,,,
"Furnas County, NE","county",05000US31065,0.168,0.159,0.156,,,
"Gage County, NE","county",05000US31067,0.214,0.171,0.177,,,
"Garden County, NE","county",05000US31069,0.231,0.152,0.143,,,
"Garfield County, NE","county",05000US31071,0.111,0.151,0.142,,,
"Gosper County, NE","county",05000US31073,,0.158,0.14,,,
"Grant County, NE","county",05000US31075,,0.171,0.168,,,
"Greeley County, NE","county",05000US31077,0.101,0.154,0.148,,,
"Hall County, NE","county",05000US31079,0.168,0.165,0.166,2.8,2.7,
"Hamilton County, NE","county",05000US31081,0.154,0.153,0.136,,,
"Harlan County, NE","county",05000US31083,0.169,0.148,0.158,,,
"Hayes County, NE","county",05000US31085,0.113,0.15,0.148,,,
"Hitchcock County, NE","county",05000US31087,0.209,0.174,0.163,,,
"Holt County, NE","county",05000US31089,0.131,0.147,0.145,,,
"Hooker County, NE","county",05000US31091,,0.154,0.152,,,
"Howard County, NE","county",05000US31093,0.131,0.156,0.143,,,
"Jefferson County, NE","county",05000US31095,0.167,0.161,0.154,,,
"Johnson County, NE","county",05000US31097,0.188,0.19,0.162,,,
"Kearney County, NE","county",05000US31099,0.172,0.156,0.145,,,
"Keith County, NE","county",05000US31101,0.188,0.173,0.162,,,
"Keya Paha County, NE","county",05000US31103,0.136,0.152,0.148,,,
"Kimball County, NE","county",05000US31105,0.251,0.173,0.172,,,
"Knox County, NE","county",05000US31107,0.136,0.157,0.152,,,
"Lancaster County, NE","county",05000US31109,0.183,0.163,0.151,1.9,1.9,1.8
"Lincoln County, NE","county",05000US31111,0.162,0.198,0.173,5.2,5.3,
"Logan County, NE","county",05000US31113,,0.16,0.15,,,
"Loup County, NE","county",05000US31115,,0.165,0.14,,,
"McPherson County, NE","county",05000US31117,0.197,0.151,0.146,,,
"Madison County, NE","county",05000US31119,0.176,0.175,0.148,,,
"Merrick County, NE","county",05000US31121,0.175,0.161,0.15,,,
"Morrill County, NE","county",05000US31123,0.195,0.186,0.17,,,
"Nance County, NE","county",05000US31125,0.133,0.159,0.161,,,
"Nemaha County, NE","county",05000US31127,0.174,0.16,0.143,,,
"Nuckolls County, NE","county",05000US31129,0.134,0.139,0.141,,,
"Otoe County, NE","county",05000US31131,0.173,0.151,0.159,,,
"Pawnee County, NE","county",05000US31133,0.088,0.151,0.153,,,
"Perkins County, NE","county",05000US31135,0.161,0.142,0.135,,,
"Phelps County, NE","county",05000US31137,0.133,0.15,0.147,,,
"Pierce County, NE","county",05000US31139,0.133,0.148,0.158,,,
"Platte County, NE","county",05000US31141,0.148,0.155,0.154,,,
"Polk County, NE","county",05000US31143,0.177,0.148,0.142,,,
"Red Willow County, NE","county",05000US31145,0.175,0.167,0.154,,,
"Richardson County, NE","county",05000US31147,0.183,0.169,0.178,,,
"Rock County, NE","county",05000US31149,0.115,0.155,0.147,,,
"Saline County, NE","county",05000US31151,0.138,0.171,0.157,,,
"Sarpy County, NE","county",05000US31153,0.167,0.145,0.122,1.2,1.3,1.2
"Saunders County, NE","county",05000US31155,0.19,0.159,0.151,,,
"Scotts Bluff County, NE","county",05000US31157,0.176,0.192,0.172,4.9,4.9,
"Seward County, NE","county",05000US31159,0.143,0.136,0.153,,,
"Sheridan County, NE","county",05000US31161,0.12,0.184,0.179,,,
"Sherman County, NE","county",05000US31163,0.175,0.15,0.153,,,
"Sioux County, NE","county",05000US31165,0.144,0.156,0.149,,,
"Stanton County, NE","county",05000US31167,0.225,0.168,0.151,,,
"Thayer County, NE","county",05000US31169,0.122,0.152,0.148,,,
"Thomas County, NE","county",05000US31171,,0.149,0.14,,,
"Thurston County, NE","county",05000US31173,0.344,0.312,0.286,,,
"Valley County, NE","county",05000US31175,0.088,0.148,0.146,,,
"Washington County, NE","county",05000US31177,0.173,0.139,0.138,,,
"Wayne County, NE","county",05000US31179,0.128,0.158,0.139,,,
"Webster County, NE","county",05000US31181,0.118,0.145,0.156,,,
"Wheeler County, NE","county",05000US31183,,0.166,0.155,,,
"York County, NE","county",05000US31185,0.181,0.159,0.153,,,
"Churchill County, NV","county",05000US32001,0.235,0.183,0.186,,,
"Clark County, NV","county",05000US32003,0.21,0.176,0.169,6.6,6,6
"Douglas County, NV","county",05000US32005,0.178,0.153,0.147,,,3
"Elko County, NV","county",05000US32007,0.243,0.184,0.186,3.3,3.5,
"Esmeralda County, NV","county",05000US32009,,0.22,0.203,,,
"Eureka County, NV","county",05000US32011,,0.167,0.153,,,
"Humboldt County, NV","county",05000US32013,0.216,0.166,0.173,10,9,
"Lander County, NV","county",05000US32015,0.172,0.17,0.163,,,
"Lincoln County, NV","county",05000US32017,0.145,0.177,0.165,,,
"Lyon County, NV","county",05000US32019,0.249,0.174,0.184,4.3,4.9,6.1
"Mineral County, NV","county",05000US32021,0.267,0.194,0.201,,,
"Nye County, NV","county",05000US32023,0.263,0.184,0.188,7.1,6.8,4.6
"Pershing County, NV","county",05000US32027,0.263,0.199,0.185,,,
"Storey County, NV","county",05000US32029,0.222,0.14,0.14,,,
"Washoe County, NV","county",05000US32031,0.183,0.16,0.171,5.1,4.7,4.8
"White Pine County, NV","county",05000US32033,0.2,0.174,0.183,,,
"Carson City County, NV","county",05000US32510,0.214,0.173,0.169,,3.5,3.6
"Belknap County, NH","county",05000US33001,0.181,0.16,0.161,2.2,,
"Carroll County, NH","county",05000US33003,0.178,0.163,0.142,,,
"Cheshire County, NH","county",05000US33005,0.172,0.172,0.149,,,
"Coos County, NH","county",05000US33007,0.215,0.186,0.168,,,
"Grafton County, NH","county",05000US33009,0.168,0.172,0.152,1.9,2,1.9
"Hillsborough County, NH","county",05000US33011,0.16,0.147,0.146,1.4,1.5,1.8
"Merrimack County, NH","county",05000US33013,0.153,0.163,0.132,1.4,1.1,
"Rockingham County, NH","county",05000US33015,0.158,0.164,0.139,1,1.2,1.1
"Strafford County, NH","county",05000US33017,0.185,0.171,0.164,,,
"Sullivan County, NH","county",05000US33019,0.197,0.178,0.17,,,
"Atlantic County, NJ","county",05000US34001,0.201,0.185,0.172,7.7,7,6.9
"Bergen County, NJ","county",05000US34003,0.14,0.119,0.117,1.3,1.3,1.4
"Burlington County, NJ","county",05000US34005,0.148,0.142,0.128,2.5,2.2,2.3
"Camden County, NJ","county",05000US34007,0.192,0.15,0.166,10,10.6,9.6
"Cape May County, NJ","county",05000US34009,0.207,0.171,0.143,2.3,1.9,1.9
"Cumberland County, NJ","county",05000US34011,0.241,0.193,0.196,7.7,6.7,7
"Essex County, NJ","county",05000US34013,0.148,0.166,0.151,15.8,15.6,15.4
"Gloucester County, NJ","county",05000US34015,0.192,0.15,0.157,2.5,2.8,2.5
"Hudson County, NJ","county",05000US34017,0.163,0.154,0.157,4.4,4.2,4.3
"Hunterdon County, NJ","county",05000US34019,0.128,0.118,0.109,,,
"Mercer County, NJ","county",05000US34021,0.133,0.163,0.139,6.1,6.6,7.1
"Middlesex County, NJ","county",05000US34023,0.123,0.117,0.114,1.9,1.7,1.8
"Monmouth County, NJ","county",05000US34025,0.158,0.138,0.129,2.2,2,1.8
"Morris County, NJ","county",05000US34027,0.125,0.13,0.11,0.6,0.6,0.7
"Ocean County, NJ","county",05000US34029,0.173,0.169,0.149,1.6,1.5,1.3
"Passaic County, NJ","county",05000US34031,0.167,0.162,0.145,4.5,4.5,4.5
"Salem County, NJ","county",05000US34033,0.246,0.192,0.182,3.3,4.2,3.1
"Somerset County, NJ","county",05000US34035,0.093,0.113,0.105,1.5,1.4,1.3
"Sussex County, NJ","county",05000US34037,0.184,0.15,0.133,1.3,1.4,1.2
"Union County, NJ","county",05000US34039,0.149,0.152,0.132,6,5.7,5
"Warren County, NJ","county",05000US34041,0.186,0.151,0.156,1.5,,
"Bernalillo County, NM","county",05000US35001,0.175,0.169,0.162,7.1,6.9,6.6
"Catron County, NM","county",05000US35003,0.213,0.157,0.132,,,
"Chaves County, NM","county",05000US35005,0.219,0.183,0.155,12.8,13.9,13.3
"Cibola County, NM","county",05000US35006,0.186,0.259,0.227,10,9,9.4
"Colfax County, NM","county",05000US35007,0.211,0.161,0.151,,,
"Curry County, NM","county",05000US35009,0.226,0.199,0.176,6.7,6.5,6.3
"De Baca County, NM","county",05000US35011,0.198,0.172,0.166,,,
"Doña Ana County, NM","county",05000US35013,0.158,0.174,0.157,3.6,3.9,4.2
"Eddy County, NM","county",05000US35015,0.209,0.179,0.153,8,7.3,6.5
"Grant County, NM","county",05000US35017,0.18,0.146,0.141,10.6,9,6.3
"Guadalupe County, NM","county",05000US35019,0.328,0.159,0.145,,,
"Harding County, NM","county",05000US35021,,0.145,0.13,,,
"Hidalgo County, NM","county",05000US35023,,0.17,0.167,,,
"Lea County, NM","county",05000US35025,0.212,0.18,0.157,11.8,11.9,10.6
"Lincoln County, NM","county",05000US35027,0.221,0.183,0.165,,,
"Los Alamos County, NM","county",05000US35028,0.095,0.111,0.112,,,
"Luna County, NM","county",05000US35029,0.188,0.186,0.174,8.7,8,6.3
"McKinley County, NM","county",05000US35031,0.144,0.206,0.212,16.4,16.1,15.4
"Mora County, NM","county",05000US35033,0.171,0.197,0.191,,,
"Otero County, NM","county",05000US35035,0.24,0.201,0.172,5.6,5.8,5.3
"Quay County, NM","county",05000US35037,0.275,0.177,0.16,20.9,21.1,
"Rio Arriba County, NM","county",05000US35039,0.217,0.183,0.179,13.8,14.7,12.5
"Roosevelt County, NM","county",05000US35041,0.226,0.201,0.185,,,
"Sandoval County, NM","county",05000US35043,0.155,0.151,0.153,3.9,3.8,3.6
"San Juan County, NM","county",05000US35045,0.227,0.21,0.204,8.9,9.6,8.5
"San Miguel County, NM","county",05000US35047,0.24,0.188,0.171,11.2,12.4,9.9
"Santa Fe County, NM","county",05000US35049,0.163,0.135,0.139,6.5,6.3,6
"Sierra County, NM","county",05000US35051,0.245,0.16,0.154,,,
"Socorro County, NM","county",05000US35053,0.169,0.209,0.196,,,
"Taos County, NM","county",05000US35055,0.164,0.168,0.149,8.6,10.1,9.5
"Torrance County, NM","county",05000US35057,0.33,0.197,0.19,,,
"Union County, NM","county",05000US35059,0.084,0.168,0.153,,,
"Valencia County, NM","county",05000US35061,0.225,0.192,0.172,9.3,9.3,7.7
"Albany County, NY","county",05000US36001,0.174,0.136,0.152,2.5,2.7,2.8
"Allegany County, NY","county",05000US36003,0.214,0.164,0.171,,,
"Bronx County, NY","county",05000US36005,0.184,0.189,0.175,9.1,8.3,8.1
"Broome County, NY","county",05000US36007,0.195,0.163,0.182,3.4,3.6,3.8
"Cattaraugus County, NY","county",05000US36009,0.231,0.172,0.182,,,
"Cayuga County, NY","county",05000US36011,0.278,0.148,0.164,,,
"Chautauqua County, NY","county",05000US36013,0.236,0.16,0.177,2.9,2.5,1.9
"Chemung County, NY","county",05000US36015,0.234,0.156,0.179,2.2,2.3,2.1
"Chenango County, NY","county",05000US36017,0.226,0.152,0.171,,,
"Clinton County, NY","county",05000US36019,0.161,0.163,0.18,2.1,1.7,1.9
"Columbia County, NY","county",05000US36021,0.136,0.138,0.153,2.6,,
"Cortland County, NY","county",05000US36023,0.212,0.153,0.179,,,
"Delaware County, NY","county",05000US36025,0.16,0.148,0.169,,,
"Dutchess County, NY","county",05000US36027,0.138,0.134,0.149,2.9,3.3,2.6
"Erie County, NY","county",05000US36029,0.162,0.154,0.159,6.7,6.3,6.2
"Essex County, NY","county",05000US36031,0.14,0.143,0.162,,,
"Franklin County, NY","county",05000US36033,0.187,0.182,0.217,,,
"Fulton County, NY","county",05000US36035,0.181,0.165,0.181,,,
"Genesee County, NY","county",05000US36037,0.184,0.149,0.159,,,
"Greene County, NY","county",05000US36039,0.267,0.148,0.17,,,
"Hamilton County, NY","county",05000US36041,,0.126,0.145,,,
"Herkimer County, NY","county",05000US36043,0.193,0.163,0.181,,,
"Jefferson County, NY","county",05000US36045,0.26,0.162,0.187,1.9,2.1,2.5
"Kings County, NY","county",05000US36047,0.139,0.157,0.138,7.8,7.4,6.7
"Lewis County, NY","county",05000US36049,0.2,0.153,0.154,,,
"Livingston County, NY","county",05000US36051,0.17,0.149,0.166,,,
"Madison County, NY","county",05000US36053,0.224,0.15,0.157,,,
"Monroe County, NY","county",05000US36055,0.181,0.152,0.163,6,5.9,5.4
"Montgomery County, NY","county",05000US36057,0.306,0.158,0.178,,,
"Nassau County, NY","county",05000US36059,0.121,0.12,0.117,2.5,2.5,2.2
"New York County, NY","county",05000US36061,0.129,0.132,0.119,3.6,3.2,2.9
"Niagara County, NY","county",05000US36063,0.23,0.158,0.183,3,2.7,2.5
"Oneida County, NY","county",05000US36065,0.232,0.158,0.191,3.6,3.8,3.5
"Onondaga County, NY","county",05000US36067,0.163,0.158,0.164,4.6,5,4.8
"Ontario County, NY","county",05000US36069,0.145,0.139,0.154,1.9,2,
"Orange County, NY","county",05000US36071,0.205,0.145,0.171,3.2,3.3,3.1
"Orleans County, NY","county",05000US36073,0.287,0.16,0.178,,,
"Oswego County, NY","county",05000US36075,0.297,0.162,0.194,1.8,1.6,1.4
"Otsego County, NY","county",05000US36077,0.176,0.16,0.179,,,
"Putnam County, NY","county",05000US36079,0.097,0.125,0.13,1.3,,
"Queens County, NY","county",05000US36081,0.132,0.119,0.13,3.9,3.7,3.5
"Rensselaer County, NY","county",05000US36083,0.186,0.15,0.166,2.2,2.1,2.9
"Richmond County, NY","county",05000US36085,0.182,0.146,0.168,4.2,3.7,3.3
"Rockland County, NY","county",05000US36087,0.085,0.143,0.135,0.9,1,1.2
"St. Lawrence County, NY","county",05000US36089,0.267,0.176,0.176,2,1.7,1.7
"Saratoga County, NY","county",05000US36091,0.161,0.137,0.129,0.9,0.8,1
"Schenectady County, NY","county",05000US36093,0.179,0.153,0.163,4.4,4.6,4.7
"Schoharie County, NY","county",05000US36095,0.254,0.148,0.149,,,
"Schuyler County, NY","county",05000US36097,0.287,0.15,0.161,,,
"Seneca County, NY","county",05000US36099,0.231,0.154,0.175,,,
"Steuben County, NY","county",05000US36101,0.304,0.163,0.175,1.6,1.8,1.6
"Suffolk County, NY","county",05000US36103,0.178,0.137,0.14,2.8,2.7,2.5
"Sullivan County, NY","county",05000US36105,0.258,0.159,0.186,2.1,2.3,2.8
"Tioga County, NY","county",05000US36107,0.138,0.142,0.155,,,
"Tompkins County, NY","county",05000US36109,0.125,0.151,0.163,2,1.8,
"Ulster County, NY","county",05000US36111,0.227,0.143,0.159,1.7,1.6,1.3
"Warren County, NY","county",05000US36113,0.245,0.142,0.153,,,
"Washington County, NY","county",05000US36115,0.281,0.154,0.162,3.2,2.9,2.5
"Wayne County, NY","county",05000US36117,0.212,0.15,0.167,,,
"Westchester County, NY","county",05000US36119,0.13,0.111,0.118,2.8,2.6,2.2
"Wyoming County, NY","county",05000US36121,0.183,0.153,0.168,,,
"Yates County, NY","county",05000US36123,0.248,0.158,0.169,,,
"Alamance County, NC","county",05000US37001,0.238,0.189,0.193,4.6,4.4,4
"Alexander County, NC","county",05000US37003,0.26,0.191,0.185,7.2,6.5,4.2
"Alleghany County, NC","county",05000US37005,0.271,0.186,0.186,,,
"Anson County, NC","county",05000US37007,0.198,0.24,0.219,10.4,11.3,11.4
"Ashe County, NC","county",05000US37009,0.24,0.183,0.174,,,
"Avery County, NC","county",05000US37011,0.245,0.192,0.185,,,
"Beaufort County, NC","county",05000US37013,0.283,0.181,0.18,5.8,5.7,5.4
"Bertie County, NC","county",05000US37015,0.185,0.226,0.215,,,
"Bladen County, NC","county",05000US37017,0.206,0.232,0.21,10.5,9.9,9
"Brunswick County, NC","county",05000US37019,0.214,0.168,0.164,6.3,5.3,3.8
"Buncombe County, NC","county",05000US37021,0.2,0.188,0.163,3.7,4.2,3.7
"Burke County, NC","county",05000US37023,0.242,0.188,0.179,4.1,4,3.8
"Cabarrus County, NC","county",05000US37025,0.193,0.18,0.171,5.1,5.6,4.5
"Caldwell County, NC","county",05000US37027,0.225,0.208,0.196,5.4,5.8,6.1
"Camden County, NC","county",05000US37029,0.172,0.159,0.157,,,
"Carteret County, NC","county",05000US37031,0.214,0.171,0.162,3.5,3.3,3.2
"Caswell County, NC","county",05000US37033,0.358,0.19,0.186,,5.7,
"Catawba County, NC","county",05000US37035,0.225,0.191,0.18,7.2,7.5,5.7
"Chatham County, NC","county",05000US37037,0.204,0.162,0.162,5.2,4.7,3.7
"Cherokee County, NC","county",05000US37039,0.251,0.185,0.177,6.1,6.5,
"Chowan County, NC","county",05000US37041,0.299,0.198,0.186,,,
"Clay County, NC","county",05000US37043,0.207,0.183,0.176,,,
"Cleveland County, NC","county",05000US37045,0.243,0.199,0.199,6.8,5.5,4.8
"Columbus County, NC","county",05000US37047,0.23,0.228,0.212,12.9,13.9,14.4
"Craven County, NC","county",05000US37049,0.221,0.182,0.179,6.2,5.9,5.9
"Cumberland County, NC","county",05000US37051,0.221,0.215,0.188,10.1,10.3,10.6
"Currituck County, NC","county",05000US37053,0.264,0.178,0.175,,,
"Dare County, NC","county",05000US37055,0.309,0.174,0.163,,,
"Davidson County, NC","county",05000US37057,0.257,0.179,0.195,3.6,3.3,2.6
"Davie County, NC","county",05000US37059,0.225,0.16,0.161,4.3,3.9,
"Duplin County, NC","county",05000US37061,0.204,0.219,0.203,7.9,7.3,5.1
"Durham County, NC","county",05000US37063,0.136,0.166,0.164,9.5,9.8,10.7
"Edgecombe County, NC","county",05000US37065,0.209,0.217,0.229,12.1,11.6,10.8
"Forsyth County, NC","county",05000US37067,0.197,0.182,0.19,5.8,5.5,4.7
"Franklin County, NC","county",05000US37069,0.267,0.199,0.195,4.8,5.3,5.3
"Gaston County, NC","county",05000US37071,0.258,0.212,0.195,5.1,5.5,5.1
"Gates County, NC","county",05000US37073,,0.189,0.184,,,
"Graham County, NC","county",05000US37075,0.224,0.194,0.204,,,
"Granville County, NC","county",05000US37077,0.228,0.194,0.188,3.2,2.7,4.8
"Greene County, NC","county",05000US37079,,0.217,0.218,7.4,7.4,7.4
"Guilford County, NC","county",05000US37081,0.167,0.185,0.181,7,6.8,6.2
"Halifax County, NC","county",05000US37083,0.213,0.225,0.219,12.5,14.5,12.5
"Harnett County, NC","county",05000US37085,0.257,0.202,0.209,7.3,8,6.8
"Haywood County, NC","county",05000US37087,0.261,0.174,0.185,3.1,3.6,3.4
"Henderson County, NC","county",05000US37089,0.174,0.156,0.146,4.3,3.5,2.6
"Hertford County, NC","county",05000US37091,0.265,0.221,0.216,7.3,7.9,5.8
"Hoke County, NC","county",05000US37093,0.201,0.234,0.224,8.5,10,8.6
"Hyde County, NC","county",05000US37095,,0.193,0.181,,,
"Iredell County, NC","county",05000US37097,0.197,0.167,0.162,4.1,4.1,3.1
"Jackson County, NC","county",05000US37099,0.222,0.204,0.192,,,
"Johnston County, NC","county",05000US37101,0.254,0.197,0.172,5,4.2,3.9
"Jones County, NC","county",05000US37103,0.442,0.191,0.194,,,
"Lee County, NC","county",05000US37105,0.2,0.2,0.179,10.3,10.7,8.7
"Lenoir County, NC","county",05000US37107,0.161,0.206,0.211,8.6,8.9,10.4
"Lincoln County, NC","county",05000US37109,0.173,0.187,0.182,4.9,4.5,3.6
"McDowell County, NC","county",05000US37111,0.231,0.199,0.194,5.5,5.7,5.1
"Macon County, NC","county",05000US37113,0.209,0.175,0.166,,,
"Madison County, NC","county",05000US37115,0.224,0.189,0.181,,,
"Martin County, NC","county",05000US37117,0.118,0.219,0.201,8,8.8,6.6
"Mecklenburg County, NC","county",05000US37119,0.138,0.158,0.15,7.3,6.8,6.2
"Mitchell County, NC","county",05000US37121,0.26,0.181,0.172,,,
"Montgomery County, NC","county",05000US37123,,0.209,0.202,10.2,10.3,7.2
"Moore County, NC","county",05000US37125,0.154,0.169,0.161,7.5,7.4,6.6
"Nash County, NC","county",05000US37127,0.224,0.189,0.196,12.5,10.6,9.2
"New Hanover County, NC","county",05000US37129,0.18,0.16,0.168,4.5,4.5,5.2
"Northampton County, NC","county",05000US37131,0.215,0.214,0.218,12.3,9.8,9.4
"Onslow County, NC","county",05000US37133,0.248,0.204,0.207,4.8,4.8,5.5
"Orange County, NC","county",05000US37135,0.116,0.165,0.156,2.6,2.3,1.5
"Pamlico County, NC","county",05000US37137,,0.173,0.164,,,
"Pasquotank County, NC","county",05000US37139,0.348,0.189,0.191,5.1,3.9,5.3
"Pender County, NC","county",05000US37141,0.281,0.188,0.175,3.3,3.2,3.7
"Perquimans County, NC","county",05000US37143,0.21,0.185,0.182,,,
"Person County, NC","county",05000US37145,0.27,0.192,0.193,7.4,6.1,5.1
"Pitt County, NC","county",05000US37147,0.192,0.208,0.217,7.8,7.3,7
"Polk County, NC","county",05000US37149,0.189,0.152,0.147,,,
"Randolph County, NC","county",05000US37151,0.234,0.202,0.177,4.5,4.6,3.5
"Richmond County, NC","county",05000US37153,0.261,0.212,0.219,10.5,9.9,8.3
"Robeson County, NC","county",05000US37155,0.256,0.286,0.268,22.7,21.1,20.9
"Rockingham County, NC","county",05000US37157,0.275,0.203,0.194,6.1,6.2,5.6
"Rowan County, NC","county",05000US37159,0.249,0.196,0.184,5.7,6,6.3
"Rutherford County, NC","county",05000US37161,0.265,0.217,0.199,4.7,3.7,3.4
"Sampson County, NC","county",05000US37163,0.169,0.2,0.213,10.8,10.7,8.7
"Scotland County, NC","county",05000US37165,0.248,0.249,0.256,21,21,16.3
"Stanly County, NC","county",05000US37167,0.253,0.179,0.187,4.9,4.7,5
"Stokes County, NC","county",05000US37169,0.361,0.185,0.178,2.9,2.9,4.3
"Surry County, NC","county",05000US37171,0.275,0.19,0.193,5.3,5.1,3.9
"Swain County, NC","county",05000US37173,0.299,0.231,0.223,13.8,11.5,
"Transylvania County, NC","county",05000US37175,0.227,0.161,0.158,,,
"Tyrrell County, NC","county",05000US37177,,0.214,0.199,,,
"Union County, NC","county",05000US37179,0.164,0.168,0.156,4.5,3.7,2.9
"Vance County, NC","county",05000US37181,0.275,0.218,0.213,18.9,19.1,16.8
"Wake County, NC","county",05000US37183,0.129,0.151,0.138,3,3,2.8
"Warren County, NC","county",05000US37185,0.225,0.215,0.216,12,,6.9
"Washington County, NC","county",05000US37187,,0.213,0.203,,,
"Watauga County, NC","county",05000US37189,0.164,0.212,0.201,2.9,2.8,
"Wayne County, NC","county",05000US37191,0.236,0.202,0.209,10.8,10.6,8.7
"Wilkes County, NC","county",05000US37193,0.28,0.199,0.207,5.2,5.2,6
"Wilson County, NC","county",05000US37195,0.121,0.218,0.201,9.6,9.7,7.5
"Yadkin County, NC","county",05000US37197,0.255,0.196,0.187,,3.7,
"Yancey County, NC","county",05000US37199,0.214,0.185,0.181,,,
"Adams County, ND","county",05000US38001,0.112,0.153,0.144,,,
"Barnes County, ND","county",05000US38003,0.164,0.16,0.162,,,
"Benson County, ND","county",05000US38005,0.345,0.319,0.293,,,
"Billings County, ND","county",05000US38007,,0.157,0.159,,,
"Bottineau County, ND","county",05000US38009,0.228,0.174,0.154,,,
"Bowman County, ND","county",05000US38011,0.109,0.153,0.14,,,
"Burke County, ND","county",05000US38013,0.247,0.187,0.179,,,
"Burleigh County, ND","county",05000US38015,0.133,0.153,0.155,1.7,1.9,2.3
"Cass County, ND","county",05000US38017,0.161,0.156,0.155,,,1.2
"Cavalier County, ND","county",05000US38019,0.204,0.147,0.138,,,
"Dickey County, ND","county",05000US38021,0.164,0.161,0.145,,,
