geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017
"Dallas County, AR","county",05000US05039,,0.222,0.199,,,
"Desha County, AR","county",05000US05041,0.239,0.253,0.237,14.6,13.8,14.7
"Drew County, AR","county",05000US05043,0.181,0.249,0.225,,,7.7
"Faulkner County, AR","county",05000US05045,0.18,0.217,0.184,3.8,3.9,4.4
"Franklin County, AR","county",05000US05047,0.277,0.229,0.206,,,
"Fulton County, AR","county",05000US05049,0.292,0.21,0.195,,,
"Garland County, AR","county",05000US05051,0.277,0.232,0.204,10,10.6,9.6
"Grant County, AR","county",05000US05053,0.39,0.196,0.181,,,
"Greene County, AR","county",05000US05055,0.177,0.227,0.198,6.8,6.1,5.3
"Hempstead County, AR","county",05000US05057,0.187,0.261,0.226,8.5,9,6.4
"Hot Spring County, AR","county",05000US05059,0.278,0.212,0.201,5.7,6.2,6.9
"Howard County, AR","county",05000US05061,0.203,0.246,0.214,,,
"Independence County, AR","county",05000US05063,0.232,0.233,0.207,6.3,7.3,5.4
"Izard County, AR","county",05000US05065,0.257,0.215,0.191,,,
"Jackson County, AR","county",05000US05067,0.27,0.25,0.221,,8.9,8.9
"Jefferson County, AR","county",05000US05069,0.249,0.262,0.214,22.2,22.7,22
"Johnson County, AR","county",05000US05071,0.244,0.243,0.22,,,
"Lafayette County, AR","county",05000US05073,,0.248,0.205,,,
"Lawrence County, AR","county",05000US05075,0.163,0.243,0.224,,,
"Lee County, AR","county",05000US05077,0.184,0.283,0.249,29.8,27.6,21.1
"Lincoln County, AR","county",05000US05079,0.246,0.257,0.225,,10.9,
"Little River County, AR","county",05000US05081,0.222,0.212,0.195,,,
"Logan County, AR","county",05000US05083,0.251,0.211,0.202,,,
"Lonoke County, AR","county",05000US05085,0.206,0.207,0.197,5.7,5.5,4.9
"Madison County, AR","county",05000US05087,0.304,0.234,0.216,,,
"Marion County, AR","county",05000US05089,0.242,0.225,0.205,,,
"Miller County, AR","county",05000US05091,0.328,0.229,0.207,6.1,5.9,6.6
"Mississippi County, AR","county",05000US05093,0.295,0.256,0.241,16.1,18.2,17.6
"Monroe County, AR","county",05000US05095,0.368,0.258,0.248,,,
"Montgomery County, AR","county",05000US05097,0.201,0.212,0.187,,,
"Nevada County, AR","county",05000US05099,0.349,0.268,0.24,,,
"Newton County, AR","county",05000US05101,0.392,0.223,0.204,,,
"Ouachita County, AR","county",05000US05103,0.233,0.233,0.212,12.9,10.4,9
"Perry County, AR","county",05000US05105,0.324,0.219,0.202,,,
"Phillips County, AR","county",05000US05107,0.242,0.273,0.261,36.9,38.7,34.3
"Pike County, AR","county",05000US05109,0.203,0.226,0.202,,,
"Poinsett County, AR","county",05000US05111,0.194,0.253,0.237,9.6,9,7.6
"Polk County, AR","county",05000US05113,0.284,0.232,0.214,,,
"Pope County, AR","county",05000US05115,0.228,0.213,0.204,3.1,3,3.4
"Prairie County, AR","county",05000US05117,0.268,0.223,0.199,,,
"Pulaski County, AR","county",05000US05119,0.192,0.202,0.185,15.9,14.7,13.7
"Randolph County, AR","county",05000US05121,0.192,0.221,0.203,,,
"St. Francis County, AR","county",05000US05123,0.218,0.28,0.239,11.9,13.4,18.1
"Saline County, AR","county",05000US05125,0.23,0.187,0.176,4.4,4.2,3.1
"Scott County, AR","county",05000US05127,0.317,0.225,0.207,,,
"Searcy County, AR","county",05000US05129,0.201,0.232,0.208,,,
"Sebastian County, AR","county",05000US05131,0.214,0.226,0.184,5.1,4.8,5
"Sevier County, AR","county",05000US05133,0.224,0.234,0.213,,,
"Sharp County, AR","county",05000US05135,0.311,0.225,0.211,,,
"Stone County, AR","county",05000US05137,0.265,0.236,0.205,,,
"Union County, AR","county",05000US05139,0.263,0.229,0.203,13.3,12.1,10.8
"Van Buren County, AR","county",05000US05141,0.312,0.225,0.207,,,
"Washington County, AR","county",05000US05143,0.2,0.232,0.209,2,2,2.5
"White County, AR","county",05000US05145,0.175,0.226,0.189,4.6,5.2,5.1
"Woodruff County, AR","county",05000US05147,0.221,0.245,0.217,,,
"Yell County, AR","county",05000US05149,0.231,0.227,0.199,,,
"Alameda County, CA","county",05000US06001,0.106,0.106,0.099,9.4,8.7,7.7
"Alpine County, CA","county",05000US06003,,0.157,0.156,,,
"Amador County, CA","county",05000US06005,0.212,0.126,0.115,,3.4,5
"Butte County, CA","county",05000US06007,0.192,0.15,0.145,4.5,4.1,3.9
"Calaveras County, CA","county",05000US06009,0.191,0.116,0.117,,3.6,3.2
"Colusa County, CA","county",05000US06011,,0.143,0.13,,,
"Contra Costa County, CA","county",05000US06013,0.116,0.11,0.106,8.8,8.3,6.8
"Del Norte County, CA","county",05000US06015,0.203,0.161,0.154,8,7.5,7.1
"El Dorado County, CA","county",05000US06017,0.143,0.116,0.113,3,2.9,2.4
"Fresno County, CA","county",05000US06019,0.139,0.134,0.136,7.6,7.3,7.1
